iter	Passed	Remaining
907	4205	426
908	4209	421
909	4213	416
910	4218	412
911	4221	407
912	4225	402
913	4229	397
914	4234	393
915	4237	388
916	4242	383
917	4247	379
918	4251	374
919	4254	369
920	4258	365
921	4267	361
922	4271	356
923	4274	351
924	4278	346
925	4282	342
926	4286	337
927	4291	332
928	4295	328
929	4298	323
930	4302	318
931	4306	314
932	4310	309
933	4314	304
934	4320	300
935	4323	295
936	4327	290
937	4330	286
938	4335	281
939	4338	276
940	4341	272
941	4344	267
942	4352	263
943	4356	258
944	4360	253
945	4366	249
946	4369	244
947	4372	239
948	4376	235
949	4380	230
950	4383	225
951	4386	221
952	4391	216
953	4394	211
954	4397	207
955	4401	202
956	4407	198
957	4410	193
958	4414	188
959	4418	184
960	4422	179
961	4426	174
962	4430	170
963	4437	165
964	4440	161
965	4444	156
966	4447	151
967	4451	147
968	4454	142
969	4457	137
970	4460	133
971	4464	128
972	4468	123
973	4471	119
974	4474	114
975	4480	110
976	4484	105
977	4490	101
978	4494	96
979	4501	91
980	4506	87
981	4511	82
982	4515	78
983	4519	73
984	4523	68
985	4529	64
986	4533	59
987	4537	55
988	4541	50
989	4544	45
990	4547	41
991	4551	36
992	4555	32
993	4558	27
994	4561	22
995	4565	18
996	4570	13
997	4574	9
998	4579	4
999	4583	0
